epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,873.047,0.70124,0.37266,0.86794,0.99763,0.99874,0.99453,0.76716,0.81244,0.33975,0.944,0.000852837,0.000852837,0.000852837
150,878.706,0.71743,0.3776,0.86469,0.99791,1,0.99442,0.77049,0.80551,0.33701,0.94106,0.000847336,0.000847336,0.000847336
151,884.542,0.67829,0.35907,0.86522,0.99759,1,0.99431,0.77174,0.80464,0.34014,0.93989,0.000841835,0.000841835,0.000841835
152,890.172,0.66162,0.35337,0.85892,0.99692,1,0.99424,0.77615,0.81432,0.34273,0.94554,0.000836334,0.000836334,0.000836334
153,895.797,0.71092,0.37556,0.87134,0.99504,0.99953,0.99469,0.77686,0.80775,0.33502,0.93991,0.000830833,0.000830833,0.000830833
154,901.657,0.68815,0.35778,0.87184,0.99655,0.9996,0.99472,0.77313,0.81245,0.33502,0.93963,0.000825332,0.000825332,0.000825332
155,907.402,0.69158,0.3585,0.86681,0.99752,1,0.99437,0.77275,0.80405,0.3358,0.93657,0.000819831,0.000819831,0.000819831
156,913.209,0.6916,0.35701,0.87369,0.99778,1,0.99433,0.77866,0.81428,0.33379,0.93936,0.000814329,0.000814329,0.000814329
157,919.281,0.70948,0.37025,0.86925,0.99772,1,0.99436,0.77235,0.81859,0.33676,0.94225,0.000808828,0.000808828,0.000808828
158,925.07,0.68976,0.36979,0.86965,0.99707,1,0.99443,0.77682,0.81176,0.33752,0.93888,0.000803327,0.000803327,0.000803327
159,930.923,0.70629,0.36098,0.8709,0.99782,1,0.99473,0.76342,0.82164,0.34582,0.94532,0.000797826,0.000797826,0.000797826
160,936.666,0.69494,0.35764,0.86573,0.99752,1,0.99485,0.76711,0.81732,0.34276,0.94502,0.000792325,0.000792325,0.000792325
161,942.25,0.68673,0.36786,0.87427,0.99832,1,0.99484,0.77722,0.80962,0.33437,0.93839,0.000786824,0.000786824,0.000786824
162,948.04,0.67984,0.36358,0.8619,0.99717,1,0.99473,0.77856,0.81555,0.33543,0.94163,0.000781323,0.000781323,0.000781323
163,953.917,0.66503,0.35033,0.84799,0.99585,1,0.99416,0.77497,0.81154,0.33883,0.93791,0.000775822,0.000775822,0.000775822
164,959.607,0.70847,0.37048,0.87684,0.99607,0.98669,0.99362,0.77022,0.80815,0.34193,0.93648,0.000770321,0.000770321,0.000770321
165,965.573,0.69107,0.35951,0.85792,0.98226,1,0.99353,0.77127,0.80379,0.33296,0.93596,0.00076482,0.00076482,0.00076482
166,971.323,0.68379,0.35256,0.86555,0.99694,0.99929,0.9938,0.77704,0.79817,0.32799,0.9362,0.000759318,0.000759318,0.000759318
167,977.049,0.70269,0.35885,0.85148,0.9981,1,0.99392,0.77966,0.79829,0.3375,0.94393,0.000753817,0.000753817,0.000753817
168,982.792,0.67602,0.35664,0.86362,0.99787,1,0.99397,0.78437,0.79906,0.33197,0.94102,0.000748316,0.000748316,0.000748316
169,988.754,0.6714,0.35097,0.86331,0.99698,0.99926,0.99407,0.78397,0.79705,0.32997,0.93633,0.000742815,0.000742815,0.000742815
170,994.625,0.67023,0.3464,0.86606,0.99656,0.9994,0.99408,0.78682,0.8019,0.33196,0.93738,0.000737314,0.000737314,0.000737314
171,1000.38,0.66481,0.35367,0.86301,0.99727,0.99949,0.99415,0.77714,0.80086,0.33382,0.93732,0.000731813,0.000731813,0.000731813
172,1006.13,0.67944,0.35523,0.86248,0.99698,0.99883,0.99422,0.77835,0.80967,0.33215,0.942,0.000726312,0.000726312,0.000726312
173,1011.93,0.65741,0.35076,0.85374,0.99674,0.99998,0.99424,0.76909,0.81831,0.33318,0.94725,0.000720811,0.000720811,0.000720811
174,1017.79,0.66915,0.34701,0.8607,0.9967,0.99954,0.99437,0.77217,0.81624,0.33421,0.94567,0.00071531,0.00071531,0.00071531
175,1023.6,0.6591,0.3454,0.85322,0.99666,1,0.99427,0.76937,0.80878,0.33016,0.94198,0.000709809,0.000709809,0.000709809
176,1029.44,0.64126,0.3405,0.85504,0.99776,0.99974,0.99429,0.77103,0.81123,0.33039,0.94303,0.000704307,0.000704307,0.000704307
177,1035.4,0.66475,0.34508,0.85773,0.99782,0.99947,0.9944,0.78211,0.81326,0.33267,0.94182,0.000698806,0.000698806,0.000698806
178,1041.34,0.64514,0.34168,0.84675,0.99789,0.99947,0.99443,0.78213,0.81962,0.33094,0.94543,0.000693305,0.000693305,0.000693305
179,1046.93,0.68197,0.35192,0.87524,0.99747,0.99949,0.9943,0.77847,0.80913,0.32654,0.94169,0.000687804,0.000687804,0.000687804
180,1052.65,0.66598,0.34228,0.86707,0.99651,0.99946,0.99402,0.78176,0.8148,0.32785,0.94519,0.000682303,0.000682303,0.000682303
181,1058.56,0.66768,0.34505,0.86906,0.99654,0.99966,0.99401,0.78361,0.82268,0.3305,0.94949,0.000676802,0.000676802,0.000676802
182,1064.34,0.65797,0.33767,0.86173,0.99662,0.9997,0.99409,0.78035,0.81257,0.32655,0.94395,0.000671301,0.000671301,0.000671301
183,1070.29,0.71714,0.35749,0.87796,0.99761,0.99957,0.99427,0.78311,0.80267,0.32727,0.93697,0.0006658,0.0006658,0.0006658
184,1075.95,0.70017,0.34664,0.87222,0.99762,1,0.99413,0.78418,0.809,0.32678,0.94089,0.000660299,0.000660299,0.000660299
